Designator,Footprint,Quantity,Value,LCSC Part #
C1,C0603,1,1nF,C14663
"C2, C3",C0603,2,100nF,C14663
C4,1206,1,2.2uF,C152949
D1,0603,1,VLMTG1300-GS08,C413462
J1,BNC_LINX_CONBNC001,1,BNC_MALE_PCB,C6538223
J2,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,1,USB4135-GF-A,C2927028
J3,SMA_Molex_73251-1153_EdgeMount_Horizontal,1,Conn_Coaxial,C5859238
"R1, R2, R5",R0603,3,49.9,C304761
R3,R0603,1,130,C304699
R4,R0603,1,82,C322011
R6,R0603,1,1.2k,C667536
"R7, R8",0603,2,5K1,C5913162
R9,0603,1,4.70k,C5913221
U1,SOT-23-6,1,SN74LVC2G14DBV,
